Day,Team1,Team2
1,A1,B7
1,A2,A6
1,A3,D6
1,A5,C6
1,A9,B6
1,B1,B9
1,B3,C4
1,B8,D7
1,C1,B2
1,C2,A4
1,C8,C3
1,C9,B5
1,D1,A8
1,D2,C5
1,D3,D4
1,D5,C7
1,D8,B4
1,D9,A7
2,A4,A2
2,A6,D2
2,A7,B3
2,A8,B1
2,B2,D9
2,B4,B8
2,B5,C8
2,B6,D1
2,B7,C1
2,B9,D3
2,C3,C2
2,C4,A5
2,C5,A3
2,C6,D8
2,C7,C9
2,D4,D5
2,D6,A9
2,D7,A1
3,A1,A4
3,A2,B4
3,A3,C8
3,A5,D7
3,A9,D1
3,B1,D4
3,B2,C7
3,B3,A6
3,B5,B6
3,B8,C3
3,C1,A7
3,C2,C5
3,C6,A8
3,D2,B7
3,D3,C4
3,D5,D6
3,D8,C9
3,D9,B9
4,A3,B5
4,A4,C1
4,A6,A9
4,A7,D3
4,A8,D8
4,B4,D2
4,B6,A5
4,B7,B1
4,B9,C9
4,C3,A1
4,C4,C6
4,C5,D5
4,C7,A2
4,C8,B8
4,D1,D9
4,D4,B2
4,D6,C2
4,D7,B3
5,A5,B9
5,A8,A1
5,A9,C4
5,B1,C5
5,B2,A7
5,B3,B5
5,B8,B7
5,C1,D6
5,C2,B4
5,C6,C8
5,C7,D7
5,C9,A6
5,D2,A3
5,D3,B6
5,D4,A4
5,D5,A2
5,D8,D1
5,D9,C3
6,A1,D9
6,A2,C2
6,A4,D5
6,A6,B8
6,A7,A5
6,B4,C6
6,B5,D8
6,B6,B2
6,B7,A8
6,B9,A3
6,C3,B3
6,C4,D2
6,C5,C7
6,C8,A9
6,C9,D4
6,D1,C1
6,D6,B1
6,D7,D3
7,A1,C9
7,A5,A3
7,A8,C3
7,A9,A7
7,B1,A2
7,B2,B4
7,B3,D6
7,B8,A4
7,C1,C4
7,C2,D1
7,C5,B6
7,C6,B9
7,C7,B7
7,D2,D8
7,D3,A6
7,D4,C8
7,D5,B5
7,D9,D7
8,A2,D4
8,A3,A8
8,A4,B2
8,A6,C5
8,A7,C7
8,B4,A9
8,B5,A1
8,B6,C2
8,B7,D5
8,B9,B3
8,C3,D3
8,C4,B1
8,C8,D9
8,C9,C1
8,D1,B8
8,D6,D2
8,D7,C6
8,D8,A5
