Day,Team1,Team2
1,A3,B5
1,A5,A6
1,A7,C6
1,A9,A1
1,B2,C4
1,B4,A2
1,B6,D9
1,B8,B9
1,C1,D7
1,C3,B3
1,C5,A8
1,C7,C8
1,C9,D5
1,D1,B1
1,D2,D3
1,D4,A4
1,D6,B7
1,D8,C2
2,A1,C7
2,A2,A3
2,A4,B2
2,A6,D6
2,A8,B6
2,B1,C1
2,B3,B4
2,B5,D2
2,B7,D4
2,B9,C5
2,C2,C3
2,C4,A7
2,C6,B8
2,C8,A9
2,D3,C9
2,D5,A5
2,D7,D8
2,D9,D1
3,A1,B1
3,A3,D3
3,A5,B3
3,A7,A8
3,A9,D9
3,B2,D7
3,B4,C8
3,B6,B7
3,B8,A6
3,C1,C2
3,C3,A2
3,C5,D1
3,C7,B9
3,C9,A4
3,D2,C4
3,D4,D5
3,D6,C6
3,D8,B5
4,A2,D2
4,A4,A5
4,A6,C5
4,A8,C1
4,B1,B2
4,B3,D6
4,B5,C3
4,B7,A9
4,B9,A7
4,C2,B6
4,C4,D8
4,C6,A1
4,C8,C9
4,D1,C7
4,D3,D4
4,D5,B4
4,D7,A3
4,D9,B8
5,A1,A2
5,A3,C8
5,A5,D1
5,A7,D5
5,A9,C2
5,B2,A8
5,B4,B5
5,B6,A4
5,B8,D3
5,C1,B7
5,C3,C4
5,C5,C6
5,C7,D9
5,C9,B1
5,D2,B3
5,D4,B9
5,D6,D7
5,D8,A6
6,A2,C9
6,A4,C3
6,A6,A7
6,A8,D4
6,B1,A3
6,B3,A1
6,B5,A5
6,B7,B8
6,B9,D8
6,C2,D6
6,C4,B4
6,C6,C7
6,C8,B2
6,D1,D2
6,D3,A9
6,D5,C1
6,D7,B6
6,D9,C5
7,A1,D7
7,A3,A4
7,A5,C4
7,A7,B7
7,A9,B9
7,B1,D5
7,B2,B3
7,B4,D1
7,B6,C6
7,B8,C2
7,C3,D3
7,C5,B5
7,C7,A6
7,C9,C1
7,D2,A8
7,D4,C8
7,D6,A2
7,D8,D9
8,A2,B8
8,A4,D8
8,A6,B4
8,A8,A9
8,B3,C9
8,B5,B6
8,B7,C7
8,B9,B1
8,C1,A3
8,C2,A5
8,C4,C5
8,C6,D4
8,C8,D2
8,D1,A1
8,D3,B2
8,D5,D6
8,D7,C3
8,D9,A7
