ManCity,"('Sevilla', 'Real')","('Napoli', 'Leipzig')","('Atalanta', 'Braga')","('Berlin', 'Galatasaray')"
ManUnited,"('Barcelona', 'Inter')","('Benfica', 'Atletico')","('Copenhagen', 'YB')","('Lens', 'Marseille')"
Bayern,"('Liverpool', 'Sevilla')","('Arsenal', 'Benfica')","('YB', 'Atalanta')","('Celtic', 'Qarabag')"
Barcelona,"('PSG', 'ManUnited')","('Shakhtar', 'Salzburg')","('Lazio', 'Milan')","('Galatasaray', 'Lens')"
Inter,"('ManUnited', 'PSG')","('Leipzig', 'Porto')","('Crvena', 'Copenhagen')","('Sociedad', 'Celtic')"
Real,"('ManCity', 'Liverpool')","('Dortmund', 'Napoli')","('Milan', 'Crvena')","('Antwerp', 'Berlin')"
Sevilla,"('Bayern', 'ManCity')","('Porto', 'Dortmund')","('Eindhoven', 'Lazio')","('Marseille', 'Newcastle')"
Liverpool,"('Real', 'Bayern')","('Atletico', 'Shakhtar')","('Feyenoord', 'Eindhoven')","('Qarabag', 'Antwerp')"
PSG,"('Inter', 'Barcelona')","('Salzburg', 'Arsenal')","('Braga', 'Feyenoord')","('Newcastle', 'Sociedad')"
Benfica,"('Bayern', 'ManUnited')","('Arsenal', 'Shakhtar')","('Copenhagen', 'Eindhoven')","('Berlin', 'Qarabag')"
Leipzig,"('ManCity', 'Inter')","('Atletico', 'Napoli')","('Crvena', 'Copenhagen')","('Marseille', 'Antwerp')"
Napoli,"('Real', 'ManCity')","('Leipzig', 'Salzburg')","('YB', 'Braga')","('Qarabag', 'Berlin')"
Porto,"('Inter', 'Sevilla')","('Shakhtar', 'Atletico')","('Eindhoven', 'Lazio')","('Newcastle', 'Marseille')"
Salzburg,"('Barcelona', 'PSG')","('Napoli', 'Dortmund')","('Milan', 'Atalanta')","('Celtic', 'Galatasaray')"
Dortmund,"('Sevilla', 'Real')","('Salzburg', 'Arsenal')","('Feyenoord', 'YB')","('Antwerp', 'Celtic')"
Arsenal,"('PSG', 'Bayern')","('Dortmund', 'Benfica')","('Lazio', 'Feyenoord')","('Lens', 'Sociedad')"
Shakhtar,"('Liverpool', 'Barcelona')","('Benfica', 'Porto')","('Atalanta', 'Milan')","('Sociedad', 'Newcastle')"
Atletico,"('ManUnited', 'Liverpool')","('Porto', 'Leipzig')","('Braga', 'Crvena')","('Galatasaray', 'Lens')"
Atalanta,"('Bayern', 'ManCity')","('Salzburg', 'Shakhtar')","('Feyenoord', 'Braga')","('Sociedad', 'Antwerp')"
Copenhagen,"('Inter', 'ManUnited')","('Leipzig', 'Benfica')","('Milan', 'Lazio')","('Berlin', 'Qarabag')"
Eindhoven,"('Liverpool', 'Sevilla')","('Benfica', 'Porto')","('Lazio', 'Milan')","('Lens', 'Sociedad')"
Lazio,"('Sevilla', 'Barcelona')","('Porto', 'Arsenal')","('Copenhagen', 'Eindhoven')","('Qarabag', 'Marseille')"
Milan,"('Barcelona', 'Real')","('Shakhtar', 'Salzburg')","('Eindhoven', 'Copenhagen')","('Marseille', 'Lens')"
Braga,"('ManCity', 'PSG')","('Napoli', 'Atletico')","('Atalanta', 'YB')","('Antwerp', 'Galatasaray')"
Feyenoord,"('PSG', 'Liverpool')","('Arsenal', 'Dortmund')","('Crvena', 'Atalanta')","('Galatasaray', 'Celtic')"
Crvena,"('Real', 'Inter')","('Atletico', 'Leipzig')","('YB', 'Feyenoord')","('Newcastle', 'Berlin')"
YB,"('ManUnited', 'Bayern')","('Dortmund', 'Napoli')","('Braga', 'Crvena')","('Celtic', 'Newcastle')"
Lens,"('Barcelona', 'ManUnited')","('Atletico', 'Arsenal')","('Milan', 'Eindhoven')","('Qarabag', 'Antwerp')"
Antwerp,"('Liverpool', 'Real')","('Leipzig', 'Dortmund')","('Atalanta', 'Braga')","('Lens', 'Sociedad')"
Qarabag,"('Bayern', 'Liverpool')","('Benfica', 'Napoli')","('Copenhagen', 'Lazio')","('Sociedad', 'Lens')"
Marseille,"('ManUnited', 'Sevilla')","('Porto', 'Leipzig')","('Lazio', 'Milan')","('Celtic', 'Galatasaray')"
Newcastle,"('Sevilla', 'PSG')","('Shakhtar', 'Porto')","('YB', 'Crvena')","('Berlin', 'Celtic')"
Galatasaray,"('ManCity', 'Barcelona')","('Salzburg', 'Atletico')","('Braga', 'Feyenoord')","('Marseille', 'Berlin')"
Celtic,"('Inter', 'Bayern')","('Dortmund', 'Salzburg')","('Feyenoord', 'YB')","('Newcastle', 'Marseille')"
Sociedad,"('PSG', 'Inter')","('Arsenal', 'Shakhtar')","('Eindhoven', 'Atalanta')","('Antwerp', 'Qarabag')"
Berlin,"('Real', 'ManCity')","('Napoli', 'Benfica')","('Crvena', 'Copenhagen')","('Galatasaray', 'Newcastle')"
